Year,Month,Personal consumption expenditures (PCE),Goods,Durable goods,Nondurable goods,Services,PCE excluding food and energy,Food1,Energy goods and services2,Market-based PCE3,Market-based PCE excluding food and energy3
2010,JAN,0.2,0.2,-0.1,0.4,0.2,0.1,0.1,1.5,0.1,0.1
2010,FEB,0,-0.3,-0.4,-0.2,0.1,0.1,0.1,-1.5,0,0.1
2010,MAR,0.1,0,-0.1,0,0.2,0.1,0.3,-0.2,0.1,0.1
2010,APR,0,-0.2,-0.4,-0.1,0.1,0,0.1,0,0,0
2010,MAY,0,-0.3,-0.3,-0.3,0.2,0.1,0,-1.3,0,0.1
2010,JUN,-0.1,-0.3,-0.3,-0.3,0.1,0,-0.1,-1.4,0,0.1
2010,JUL,0.1,0.1,-0.4,0.3,0.1,0,0,1.5,0.1,0
2010,AUG,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.9,0.1,0.1
2010,SEP,0.1,0.2,-0.1,0.3,0,0,0.3,0.6,0.1,0
2010,OCT,0.3,0.5,-0.2,0.8,0.2,0.1,0,3.4,0.3,0
2010,NOV,0.2,0.3,0,0.5,0.1,0.1,0.2,1.3,0.2,0.1
2010,DEC,0.2,0.5,-0.3,0.9,0.1,0,0.1,3.5,0.2,0
2011,JAN,0.3,0.5,0.2,0.7,0.2,0.2,0.7,1.1,0.3,0.2
2011,FEB,0.3,0.5,0.1,0.6,0.2,0.2,0.6,1.4,0.3,0.2
2011,MAR,0.4,0.8,-0.2,1.2,0.2,0.2,0.9,3.6,0.4,0.1
2011,APR,0.4,0.8,0.2,1.1,0.2,0.2,0.4,3.4,0.4,0.2
2011,MAY,0.3,0.4,0.1,0.5,0.3,0.2,0.5,1.1,0.3,0.2
2011,JUN,0,-0.2,0.1,-0.4,0.1,0.1,0.2,-2.2,0,0.2
2011,JUL,0.2,0.1,0,0.2,0.2,0.2,0.4,0.2,0.2,0.1
2011,AUG,0.2,0.2,-0.1,0.4,0.2,0.2,0.6,0.3,0.3,0.2
2011,SEP,0.1,0.2,-0.4,0.4,0.1,0.1,0.6,0.7,0.2,0.1
2011,OCT,0,0,0,0,0,0.1,0.1,-0.8,0.1,0.1
2011,NOV,0.2,0.2,-0.1,0.3,0.2,0.2,-0.1,0.5,0.2,0.2
2011,DEC,0.1,-0.2,-0.1,-0.3,0.2,0.2,0.2,-1.7,0.1,0.2
2012,JAN,0.4,0.4,0.1,0.5,0.3,0.3,0.4,0.9,0.3,0.2
2012,FEB,0.2,0.3,-0.1,0.5,0.2,0.2,-0.1,1.9,0.2,0.2
2012,MAR,0.2,0.2,-0.2,0.4,0.2,0.2,0.2,0.5,0.2,0.1
2012,APR,0.1,0,-0.3,0.1,0.2,0.2,0.1,-0.1,0.1,0.1
2012,MAY,-0.1,-0.6,-0.1,-0.8,0.1,0.1,-0.1,-3.3,-0.1,0.1
2012,JUN,-0.1,-0.5,-0.3,-0.6,0.2,0.1,0.2,-2.7,-0.1,0.1
2012,JUL,0,-0.1,-0.1,-0.1,0.1,0.1,0,-1,0,0.1
2012,AUG,0.3,0.7,-0.2,1.1,0.2,0.1,0,5,0.4,0.1
2012,SEP,0.3,0.6,-0.2,1,0.2,0.1,0,3.5,0.3,0.1
2012,OCT,0.3,0.3,-0.1,0.5,0.3,0.2,0.3,1.2,0.2,0.1
2012,NOV,-0.1,-0.6,0,-0.8,0.2,0.1,0.2,-2.9,-0.1,0.1
2012,DEC,0,-0.4,-0.1,-0.5,0.2,0.1,0.2,-1.7,0,0.1
2013,JAN,0.2,0.1,-0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2
2013,FEB,0.4,0.7,-0.1,1,0.2,0.1,0.1,4.5,0.4,0.1
2013,MAR,-0.1,-0.8,-0.4,-0.9,0.2,0.1,0.1,-3.7,-0.2,0
2013,APR,-0.1,-0.6,-0.3,-0.7,0.2,0.1,0.1,-2.7,-0.2,-0.1
2013,MAY,0.1,-0.2,-0.1,-0.3,0.2,0.1,-0.3,-0.2,0.1,0.1
2013,JUN,0.2,0.2,0,0.4,0.2,0.2,0.2,1,0.2,0.2
2013,JUL,0.1,0,-0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
2013,AUG,0.1,0.1,-0.3,0.3,0.2,0.1,0.1,0.9,0.1,0.1
2013,SEP,0,-0.3,-0.1,-0.3,0.2,0.1,-0.1,-1,0,0.1
2013,OCT,0.2,-0.1,-0.2,0,0.3,0.2,0.1,-0.4,0.1,0.1
2013,NOV,0.2,0,-0.2,0.1,0.2,0.2,-0.2,0.3,0.1,0.1
2013,DEC,0.2,0.1,-0.4,0.3,0.2,0.1,0.1,1.3,0.2,0.1